device_age_years,battery_health,screen_damage,body_condition,repair_cost,device_value,previous_repairs,warranty_remaining,repair_or_replace
3.4,51,1,0,23174,19628,1,0,1
3.8,84,0,2,4070,32651,0,0,0
1.5,82,0,2,8223,18031,4,1,0
2.5,67,0,0,10105,50753,3,1,0
1.2,98,1,0,12763,11078,3,0,1
4.3,88,1,0,13403,52823,3,0,1
0.9,68,1,2,22668,17601,0,0,1
1.5,68,0,0,15857,11619,3,1,0
3.4,73,0,1,23997,28283,1,1,0
4.7,91,0,2,6354,46613,1,0,0
2.6,67,0,2,2051,26252,0,0,0
4.1,75,1,0,7967,18826,4,1,0
3.4,75,1,0,19394,22359,1,0,1
2.9,97,1,2,5532,31175,2,0,0
2.8,55,0,0,20543,15016,1,1,0
0.8,74,1,2,23291,21476,4,0,1
3.7,93,1,2,15246,27293,0,1,1
1.2,50,1,2,21489,54935,1,0,0
1.8,90,0,0,20626,29504,1,0,0
2.0,51,0,1,2898,59504,2,0,0
1.6,86,0,0,18455,52966,3,0,0
3.9,58,1,2,7940,15821,2,1,1
4.7,98,0,2,15355,25428,3,1,1
4.5,78,0,0,1689,19725,0,1,0
3.1,64,0,0,3208,9652,0,0,0
4.6,71,0,2,8020,20597,2,1,0
2.9,96,1,0,7239,56420,3,1,0
0.9,92,1,1,24890,32759,3,1,0
0.7,91,0,0,9147,31386,2,0,0
1.4,84,1,0,16159,32648,1,1,0
1.6,54,1,2,4056,11416,0,0,0
4.7,65,0,1,14141,36826,3,0,0
4.6,60,1,0,10347,30586,2,1,0
2.4,96,1,0,2916,17445,2,0,0
3.1,84,0,2,20142,25552,0,0,1
2.6,83,0,0,3245,38281,0,0,0
3.2,93,0,1,19970,12856,4,0,1
3.2,89,0,1,9544,48081,4,1,0
1.4,95,1,0,23009,22407,3,0,1
3.4,79,1,0,3400,5610,3,0,1
2.9,82,1,0,13108,27872,0,0,0
1.8,78,1,2,22884,57894,4,0,0
4.2,69,0,0,19128,22332,0,0,1
1.2,68,0,2,17561,27471,1,1,0
2.7,53,0,2,1116,32759,2,0,0
2.0,58,1,0,19379,53577,3,1,0
0.5,54,0,2,15083,7361,2,0,1
1.1,69,1,0,22854,28449,1,0,0
1.0,99,1,2,6324,54117,1,0,0
4.9,61,1,0,22951,16754,2,1,0
4.4,65,1,0,2268,56601,0,1,0
4.4,64,0,1,8304,27915,2,0,0
0.6,62,1,1,12506,23258,0,1,0
3.4,75,1,0,20024,12559,2,0,1
4.8,66,0,0,24872,44096,3,1,1
4.0,77,0,1,2454,42787,1,1,0
3.7,50,0,1,21419,33265,0,1,1
1.9,57,1,2,14185,25269,3,1,1
3.6,85,0,0,21169,32554,3,0,1
3.1,75,0,1,20004,23803,1,1,0
3.2,70,1,1,6560,33977,1,1,0
3.5,68,1,0,8361,58636,1,1,0
4.1,59,0,0,15923,21046,3,0,1
2.4,90,0,2,14095,50636,3,1,0
1.6,91,0,0,6763,56014,3,0,0
4.1,94,1,0,15957,41530,1,0,0
1.1,79,1,1,18952,45150,4,1,0
2.5,60,1,1,18081,21986,1,1,0
2.7,65,1,1,9903,10077,2,0,0
2.0,84,0,0,23739,14884,1,1,0
1.2,63,0,1,14624,31712,2,1,0
0.8,76,1,2,16629,50581,0,1,0
0.5,72,1,1,16998,59770,3,0,0
1.5,77,1,0,24729,30484,2,1,0
1.2,79,0,2,20395,40004,0,1,0
3.0,51,0,2,6954,33089,1,1,0
0.7,74,1,0,13423,34799,2,1,0
1.8,76,1,0,12467,35822,0,0,0
1.5,54,0,0,21359,21205,1,0,1
1.2,58,1,2,16238,12496,4,0,1
3.6,99,1,0,6366,44707,4,0,1
4.8,56,0,1,24429,42735,3,1,1
1.4,87,0,0,19544,50691,2,0,0
4.0,72,1,2,1414,29285,0,1,0
4.3,81,0,1,15270,28736,3,0,1
1.3,83,1,2,16232,57966,4,1,0
2.5,96,1,1,15771,21088,0,1,0
1.6,79,1,1,6958,6880,3,1,1
2.7,72,1,1,19212,23327,4,1,0
0.5,62,0,0,19192,52190,3,1,0
3.9,94,1,2,1565,51651,3,1,0
0.9,64,1,2,16507,20945,2,1,0
3.0,72,1,2,24031,41070,2,1,0
2.5,69,1,0,4917,12907,1,1,0
3.8,98,0,0,24743,19180,3,1,1
3.2,98,1,0,8454,59567,1,1,0
2.1,69,0,2,2491,40005,1,1,0
4.9,85,1,2,1401,13275,3,0,1
3.1,80,1,1,9273,27328,1,0,0
4.7,80,0,0,19907,31260,3,0,1
3.3,53,0,0,3791,58159,4,1,0
5.0,57,1,2,18123,44067,4,0,1
2.2,78,1,2,20976,33103,2,0,1
4.8,56,0,2,6146,18829,2,0,1
1.6,85,0,0,23589,5175,3,1,1
3.2,68,0,0,3332,23881,2,1,0
3.6,66,0,1,22221,12521,4,0,1
1.2,67,0,0,20498,8908,1,1,0
3.9,86,1,1,23928,13149,3,1,1
2.3,67,1,1,15156,10271,4,0,1
3.8,88,1,0,23029,10985,1,0,1
4.2,86,0,0,10114,35834,4,1,0
1.3,87,1,2,16401,58362,3,0,0
2.1,71,1,2,14488,11855,1,1,0
3.6,68,1,2,11306,7404,3,0,1
1.6,57,1,2,14541,59062,0,1,0
0.7,83,1,2,2691,54574,3,1,0
1.4,85,0,1,1945,33712,3,0,0
4.9,88,0,2,19096,15379,2,0,1
2.3,64,0,1,24481,12698,1,1,0
1.8,95,1,1,8986,59704,3,1,0
2.6,59,1,0,3287,44280,4,0,1
1.7,100,1,1,1084,56623,4,1,0
1.8,69,1,0,12309,34264,4,1,0
2.0,98,1,1,19736,26088,1,0,0
2.2,99,1,0,13651,25852,3,1,0
4.9,100,0,1,4288,7426,1,1,1
4.4,78,0,2,14434,34945,0,0,0
4.4,59,0,1,21422,56218,2,1,0
3.6,91,0,1,11376,49194,4,1,0
3.3,98,1,2,8692,7352,4,0,1
3.3,68,0,2,21766,10923,3,0,1
3.7,56,1,0,2507,50482,2,0,1
2.0,53,1,1,9001,29565,3,0,1
2.9,86,0,0,21306,16473,0,1,0
3.6,81,0,0,9366,35221,2,1,0
3.5,79,1,2,15474,40821,1,0,0
4.8,87,1,2,10899,32807,2,1,0
1.4,74,1,0,19835,20545,3,1,0
1.8,94,1,0,1265,59397,3,1,0
3.0,93,0,2,8540,53835,3,1,0
3.2,72,0,2,23208,17460,4,1,1
3.9,99,0,2,15444,11367,0,1,0
0.7,73,0,0,6755,24340,2,1,0
1.4,100,1,2,9420,37885,2,0,0
4.6,80,1,2,3467,27198,0,1,0
1.1,64,1,2,1456,28971,0,1,0
1.7,57,1,1,21923,49094,2,1,0
4.7,56,0,1,20991,6640,4,1,1
1.5,54,1,2,5580,24804,3,0,1
0.7,52,1,1,18614,12610,0,0,1
1.1,79,1,2,20245,53702,4,1,0
3.8,59,1,2,10166,11489,3,1,1
0.6,73,0,1,4255,34143,1,1,0
4.9,73,1,0,5002,31092,2,0,0
4.8,79,0,2,2657,18900,4,0,1
4.0,65,0,2,20214,18448,0,0,1
1.5,64,1,0,10085,56684,4,0,0
4.4,59,0,2,22661,21426,1,0,1
4.4,58,0,1,1517,56772,1,1,0
1.3,53,0,2,3082,32588,4,0,1
2.6,99,1,2,17509,43906,0,1,0
1.5,89,0,2,16009,56329,4,1,0
3.4,51,0,1,17065,31320,3,0,1
3.7,78,0,0,3152,26109,4,0,0
1.1,89,1,1,15867,44150,4,1,0
2.8,77,0,2,15092,12498,4,0,1
2.5,64,1,1,14631,59225,3,1,0
3.8,70,1,1,6001,48588,2,1,0
3.6,80,0,0,15151,59511,0,0,0
0.9,97,1,0,22954,41462,0,1,0
1.1,72,1,2,12522,8371,2,1,1
1.0,82,0,0,4546,48039,3,0,0
2.1,85,1,0,15061,54978,2,0,0
4.3,99,0,2,6911,48111,2,0,0
1.7,98,1,1,5694,28004,0,0,0
3.0,75,0,0,18382,53560,0,0,0
1.5,76,1,1,24645,15315,2,1,0
2.0,86,0,0,23084,15196,1,0,0
0.9,78,1,1,9951,44785,3,1,0
1.5,82,0,1,23223,33174,0,1,0
3.6,81,1,0,1251,19451,3,0,1
1.4,63,0,1,1253,23969,2,0,0
2.7,77,0,0,17392,29917,4,0,1
3.0,92,1,0,1614,31022,0,1,0
2.6,54,1,2,24248,33133,4,1,1
3.4,68,0,1,21254,6366,2,0,1
2.6,94,1,0,15276,33620,0,0,0
3.1,83,0,1,11913,25334,2,0,0
4.0,54,0,2,12504,38420,1,1,0
3.8,91,0,0,7464,11737,1,1,0
1.3,59,0,0,19472,55649,3,1,0
3.9,78,1,2,3237,25718,1,1,0
2.6,90,1,1,17624,43759,0,1,0
0.8,79,1,0,3514,8728,2,1,0
3.4,55,1,1,15736,43032,4,0,1
4.6,86,0,1,3027,44649,3,0,0
2.5,71,0,2,9118,47344,1,0,0
3.7,78,0,1,14394,29435,2,1,0
4.0,93,0,2,11803,47421,2,0,0
0.9,93,1,1,11923,21514,4,0,1
0.9,92,0,1,20498,25331,3,0,1
3.7,55,1,2,22958,29686,2,0,1
3.7,97,0,2,1597,48939,3,1,0
2.1,61,0,1,8423,55210,3,0,0
5.0,59,0,1,22690,56650,0,0,0
2.0,99,0,2,6925,29688,1,0,0
4.2,99,0,2,12937,33683,0,1,0
3.5,65,1,2,18498,23673,3,0,1
1.6,100,1,0,16128,29106,4,1,0
4.0,99,1,2,7543,39567,3,0,1
4.1,58,1,0,19171,47020,3,1,1
4.7,95,0,1,15723,10496,1,1,0
4.6,59,1,0,1873,19551,3,1,1
2.4,75,1,0,8357,30307,0,1,0
0.6,56,1,0,16481,14017,0,1,0
3.6,58,1,1,1622,45327,0,0,1
1.7,59,1,0,10868,55867,2,0,0
1.0,65,1,2,3058,57028,4,1,0
1.0,81,0,2,24545,38775,4,0,1
1.1,77,0,2,7137,28122,1,1,0
3.5,55,1,0,13794,39475,4,0,1
4.4,52,1,1,3213,21623,0,1,0
2.1,96,0,2,2452,53181,2,0,0
2.1,71,0,2,5418,35449,3,0,0
0.8,99,1,0,7536,24231,1,0,0
4.5,70,1,2,9300,31098,4,1,0
0.7,91,0,1,9952,28394,0,1,0
1.1,73,1,1,12109,53713,3,1,0
4.9,81,1,1,3707,57251,4,1,0
3.8,55,1,2,11525,58892,1,1,0
1.0,70,1,1,6460,34223,4,1,0
3.6,72,1,0,9996,52632,2,1,0
3.4,100,0,0,17812,48986,3,1,0
4.1,93,0,0,2140,14357,4,1,0
1.1,65,1,1,20827,30090,4,0,1
1.2,78,1,1,18349,34094,0,0,0
2.2,70,1,0,17352,12434,0,0,0
2.8,85,0,1,8031,55788,2,1,0
5.0,68,1,0,15812,13037,1,0,1
1.3,95,1,0,24250,58117,2,1,0
0.8,84,1,1,17670,15322,1,1,0
1.5,62,0,0,12825,56797,3,0,0
3.0,73,1,2,3154,13504,4,0,0
1.9,95,1,2,5106,31921,3,0,0
4.9,91,0,1,5205,35528,4,1,0
4.5,99,0,0,5068,33352,4,0,0
2.8,69,0,0,18003,26145,1,1,0
4.5,55,1,0,5101,46619,4,1,1
3.3,89,0,2,6609,47007,1,0,0
3.5,96,1,2,2489,7699,0,0,1
4.8,99,1,2,21254,18815,4,1,1
3.4,81,1,2,23445,24798,3,0,1
2.3,79,0,2,14619,8926,1,1,0
2.7,63,1,2,12317,14415,2,1,0
4.9,58,1,2,8921,41808,0,1,0
2.6,67,1,0,10509,14232,0,0,0
4.8,89,1,0,7220,15466,2,1,0
3.9,81,1,1,3950,25220,3,0,1
4.8,82,1,0,2594,19099,4,1,0
0.7,81,1,1,15120,40172,0,0,0
1.1,66,1,1,2676,28982,0,1,0
3.1,62,1,2,17523,23913,0,1,1
2.5,85,1,2,5216,49590,4,0,0
4.9,75,1,1,7522,41558,2,0,0
3.2,75,0,0,16523,7550,1,1,1
2.8,59,0,1,13876,45178,2,0,0
5.0,97,1,2,24223,27044,4,1,1
3.0,80,0,1,20126,26708,0,1,0
1.9,96,0,2,24638,36102,2,0,0
0.7,80,0,2,5842,46223,4,1,0
4.2,65,0,2,1620,50909,0,0,0
2.5,76,0,1,17443,50252,1,1,0
4.0,80,0,2,19379,14049,4,0,1
2.0,92,1,2,16062,29695,2,0,1
4.6,71,1,2,7300,55593,2,1,0
4.8,67,1,0,23617,24504,2,0,1
3.7,70,1,1,4993,41732,2,1,0
3.1,84,1,1,10517,58633,2,0,0
0.7,95,0,1,8011,33991,2,1,0
1.4,84,1,2,4579,50624,2,0,0
3.3,87,0,0,21904,8326,4,0,1
1.5,56,1,1,23321,52012,3,0,1
4.0,50,0,1,22316,47787,3,1,0
1.4,68,1,1,22374,47329,0,0,0
3.1,84,0,0,14008,32386,1,0,0
4.0,61,1,0,11978,5607,2,0,1
1.8,91,1,0,7318,38044,3,1,0
4.1,71,0,2,1461,35075,2,0,0
3.8,100,1,2,21019,49197,1,0,0
4.4,75,1,2,22930,26491,0,1,1
0.9,58,1,1,13568,21256,0,1,0
1.6,98,1,1,9570,24788,4,0,0
3.4,94,0,0,11053,48764,0,1,0
1.2,93,1,2,21140,12694,2,1,0
1.5,58,1,0,14626,34817,4,1,0
3.7,80,0,0,18219,49586,4,0,0
2.5,95,1,0,18945,41973,0,0,0
4.6,62,0,0,4808,26503,4,1,0
3.6,95,1,0,15858,38447,3,0,1
1.1,76,1,2,23045,8783,4,1,1
4.1,96,0,1,19950,21676,0,0,1
0.8,77,1,2,3261,9178,4,0,1
4.9,80,0,1,22021,31795,1,0,1
